Shape,Part,X,Y,NAME
68,1,81°24′54″ W,32°42′49″ N,SCREVEN
68,1,81°25′39″ W,32°42′07″ N,SCREVEN
68,1,81°24′32″ W,32°41′48″ N,SCREVEN
68,1,81°24′05″ W,32°40′49″ N,SCREVEN
68,1,81°24′15″ W,32°40′04″ N,SCREVEN
68,1,81°23′50″ W,32°39′41″ N,SCREVEN
68,1,81°24′26″ W,32°39′38″ N,SCREVEN
68,1,81°23′35″ W,32°39′06″ N,SCREVEN
68,1,81°24′45″ W,32°38′29″ N,SCREVEN
68,1,81°24′26″ W,32°37′54″ N,SCREVEN
68,1,81°25′07″ W,32°37′46″ N,SCREVEN
68,1,81°23′22″ W,32°35′44″ N,SCREVEN
68,1,81°32′19″ W,32°30′33″ N,SCREVEN
68,1,81°32′51″ W,32°29′23″ N,SCREVEN
68,1,81°34′44″ W,32°30′46″ N,SCREVEN
68,1,81°35′45″ W,32°30′24″ N,SCREVEN
68,1,81°36′59″ W,32°30′57″ N,SCREVEN
68,1,81°37′03″ W,32°31′31″ N,SCREVEN
68,1,81°38′24″ W,32°31′56″ N,SCREVEN
68,1,81°38′52″ W,32°31′40″ N,SCREVEN
68,1,81°39′25″ W,32°32′25″ N,SCREVEN
68,1,81°39′39″ W,32°32′12″ N,SCREVEN
68,1,81°40′38″ W,32°32′55″ N,SCREVEN
68,1,81°41′22″ W,32°32′48″ N,SCREVEN
68,1,81°42′28″ W,32°33′57″ N,SCREVEN
68,1,81°43′48″ W,32°34′28″ N,SCREVEN
68,1,81°44′00″ W,32°35′10″ N,SCREVEN
68,1,81°44′55″ W,32°35′54″ N,SCREVEN
68,1,81°46′29″ W,32°36′27″ N,SCREVEN
68,1,81°47′31″ W,32°37′42″ N,SCREVEN
68,1,81°48′04″ W,32°37′47″ N,SCREVEN
68,1,81°48′08″ W,32°38′36″ N,SCREVEN
68,1,81°49′37″ W,32°39′11″ N,SCREVEN
68,1,81°49′45″ W,32°39′12″ N,SCREVEN
68,1,81°50′28″ W,32°38′57″ N,SCREVEN
68,1,81°50′45″ W,32°38′59″ N,SCREVEN
68,1,81°51′09″ W,32°39′11″ N,SCREVEN
68,1,81°51′50″ W,32°39′40″ N,SCREVEN
68,1,81°51′58″ W,32°39′47″ N,SCREVEN
68,1,81°52′05″ W,32°40′51″ N,SCREVEN
68,1,81°52′10″ W,32°41′03″ N,SCREVEN
68,1,81°52′16″ W,32°41′16″ N,SCREVEN
68,1,81°52′53″ W,32°41′42″ N,SCREVEN
68,1,81°52′56″ W,32°41′49″ N,SCREVEN
68,1,81°52′58″ W,32°41′56″ N,SCREVEN
68,1,81°52′45″ W,32°42′38″ N,SCREVEN
68,1,81°53′58″ W,32°42′41″ N,SCREVEN
68,1,81°53′43″ W,32°43′21″ N,SCREVEN
68,1,81°54′22″ W,32°44′25″ N,SCREVEN
68,1,81°54′22″ W,32°44′38″ N,SCREVEN
68,1,81°55′19″ W,32°45′22″ N,SCREVEN
68,1,81°55′13″ W,32°45′56″ N,SCREVEN
68,1,81°55′15″ W,32°45′57″ N,SCREVEN
68,1,81°56′57″ W,32°46′30″ N,SCREVEN
68,1,81°57′25″ W,32°46′45″ N,SCREVEN
68,1,81°57′27″ W,32°46′46″ N,SCREVEN
68,1,81°57′34″ W,32°47′08″ N,SCREVEN
68,1,81°46′04″ W,32°54′34″ N,SCREVEN
68,1,81°37′29″ W,32°59′47″ N,SCREVEN
68,1,81°33′54″ W,33°01′55″ N,SCREVEN
68,1,81°32′31″ W,33°02′44″ N,SCREVEN
72,1,82°09′27″ W,33°17′09″ N,BURKE
72,1,82°08′03″ W,33°16′33″ N,BURKE
72,1,82°07′31″ W,33°14′59″ N,BURKE
72,1,82°05′52″ W,33°13′50″ N,BURKE
72,1,82°05′36″ W,33°13′46″ N,BURKE
72,1,82°03′36″ W,33°14′33″ N,BURKE
72,1,82°01′48″ W,33°13′56″ N,BURKE
72,1,82°00′42″ W,33°14′02″ N,BURKE
72,1,81°58′44″ W,33°13′38″ N,BURKE
72,1,81°57′04″ W,33°14′21″ N,BURKE
72,1,81°56′11″ W,33°15′08″ N,BURKE
72,1,81°55′27″ W,33°15′26″ N,BURKE
72,1,81°54′02″ W,33°15′40″ N,BURKE
72,1,81°53′11″ W,33°15′42″ N,BURKE
72,1,81°53′00″ W,33°15′39″ N,BURKE
72,1,81°51′49″ W,33°14′51″ N,BURKE
72,1,81°51′08″ W,33°14′51″ N,BURKE
72,1,81°51′07″ W,33°14′51″ N,BURKE
72,1,81°49′41″ W,33°13′43″ N,BURKE
72,1,81°48′38″ W,33°13′24″ N,BURKE
72,1,81°48′35″ W,33°13′22″ N,BURKE
72,1,81°48′19″ W,33°12′41″ N,BURKE
72,1,81°47′04″ W,33°12′29″ N,BURKE
72,1,81°46′58″ W,33°12′31″ N,BURKE
72,1,81°46′48″ W,33°13′16″ N,BURKE
72,1,81°46′25″ W,33°13′16″ N,BURKE
72,1,81°46′08″ W,33°13′03″ N,BURKE
72,1,81°45′25″ W,33°11′53″ N,BURKE
72,1,81°45′56″ W,33°10′42″ N,BURKE
72,1,81°46′21″ W,33°10′52″ N,BURKE
72,1,81°46′06″ W,33°10′05″ N,BURKE
72,1,81°46′05″ W,33°10′03″ N,BURKE
72,1,81°45′08″ W,33°08′55″ N,BURKE
72,1,81°44′38″ W,33°08′29″ N,BURKE
72,1,81°43′18″ W,33°07′35″ N,BURKE
72,1,81°43′16″ W,33°07′34″ N,BURKE
72,1,81°42′17″ W,33°06′59″ N,BURKE
72,1,81°40′46″ W,33°06′42″ N,BURKE
72,1,81°39′33″ W,33°06′12″ N,BURKE
72,1,81°38′44″ W,33°05′39″ N,BURKE
72,1,81°38′37″ W,33°05′37″ N,BURKE
72,1,81°36′42″ W,33°05′39″ N,BURKE
72,1,81°36′43″ W,33°04′48″ N,BURKE
72,1,81°36′05″ W,33°05′13″ N,BURKE
72,1,81°36′12″ W,33°04′28″ N,BURKE
72,1,81°34′38″ W,33°03′57″ N,BURKE
72,1,81°34′22″ W,33°03′15″ N,BURKE
72,1,81°33′48″ W,33°03′37″ N,BURKE
72,1,81°33′56″ W,33°02′52″ N,BURKE
72,1,81°32′32″ W,33°02′51″ N,BURKE
72,1,81°32′31″ W,33°02′44″ N,BURKE
