Name,Last Name,First Name,Graduation date,Rank at graduation,Class,Graduated from,Pilot type,Military hometown of record,State,Aerial Victory Credits,Web Profile
"Brown, Roscoe C.",Brown, Roscoe C.,12-Mar-44,2nd Lt,SE-44-C,TAAF,Single engine,New York,NY,"Downed 1 Me-262 on March 24, 1945; Downed a Fw-190 on March 31, 1945",https://cafriseabove.org/roscoe-c-brown-jr/
"Brown, Walter R., Jr.",Brown," Walter R., Jr.",12-Mar-44,2nd Lt,SE-44-C,TAAF,Single engine,Hampton,VA,,
"Browne, Gene C.",Browne, Gene C.,1-Oct-43,2nd Lt,SE-43-I,TAAF,Single engine,New York,NY,,https://cafriseabove.org/gene-c-browne/
"Bruce, Reginald",Bruce, Reginald,4-Aug-44,Flight Officer,TE-44-G,TAAF,Twin engine,Indianapolis,IN,,
"Bruce, Samuel M.",Bruce, Samuel M.,6-Sep-42,2nd Lt,SE-42-H,TAAF,Single engine,Seattle,WA,,https://cafriseabove.org/samuel-bruce-sam-martin/
"Bryant, Grady E.",Bryant, Grady E.,27-Jun-45,2nd Lt,SE-45-D,TAAF,Single engine,Los Angeles,CA,,
"Bryant, Joseph C., Jr.",Bryant," Joseph C., Jr.",4-Aug-45,Flight Officer,TE-45-E,TAAF,Twin engine,Dowagiac,MI,,
"Bryant, Leroy, Jr.",Bryant," Leroy, Jr.",28-Dec-44,Flight Officer,SE-44-J,TAAF,Single engine,Houston,TX,,
"Bryson, James O.",Bryson, James O.,27-Jun-45,Flight Officer,SE-45-D,TAAF,Single engine,Columbus,GA,,
"Burch, John Albert III",Burch, John Albert III,11-Mar-45,2nd Lt,SE-45-A,TAAF,Single engine,Indianapolis,IN,,
"Burke, Vernon W.",Burke, Vernon W.,12-Oct-48,2nd Lt,,"Williams AFB, AZ",Single engine,,,,
"Burns, Charles Aston",Burns, Charles Aston,14-May-46,,TE-46-B,TAAF,Twin engine,,,,
"Burns, Isham A., Jr.",Burns," Isham A., Jr.",28-Dec-44,2nd Lt,SE-44-J,TAAF,Single engine,Los Angeles,CA,,
"Bussey, Charles M.",Bussey, Charles M.,28-May-43,2nd Lt,SE-43-E,TAAF,Single engine,Los Angeles,CA,"Downed 1 Me-109 on June 9, 1944",
"Butler, Jewel B.",Butler, Jewel B.,23-Mar-46,2nd Lt,SE-46-A,TAAF,Single engine,Denison,TX,,
"Bynum, Rolin A.",Bynum, Rolin A.,7-Jan-44,2nd Lt,TE-44-A,TAAF,Twin engine,Montclair,NJ,,
"Byrd, Willie L., Jr.",Byrd," Willie L., Jr.",5-Dec-43,2nd Lt,TE-43-K,TAAF,Twin engine,Fayetteville,NC,,
"Cabiness, Marshall S.",Cabiness, Marshall S.,9-Oct-42,2nd Lt,SE-42-I,TAAF,Single engine,Gastonia,NC,,
"Cabule, Emest M., Jr.",Cabule," Emest M., Jr.",11-Mar-45,2nd Lt,SE-45-A,TAAF,Single engine,Detroit,MI,,
"Caesar, Richard C.",Caesar, Richard C.,6-Sep-42,2nd Lt,SE-42-H,TAAF,Single engine,Lake Village,AR,,
"Cain, William L.",Cain, William L.,16-Oct-44,Flight Officer,TE-44-I-1,TAAF,Twin engine,London,OH,,
"Calhoun, James A.",Calhoun, James A.,12-Mar-44,2nd Lt,SE-44-C,TAAF,Single engine,Bridgeport,CT,,https://cafriseabove.org/james-albert-calhoun/
"Calloway, Julius W.",Calloway, Julius W.,20-Nov-44,Flight Officer,SE-44-I,TAAF,Single engine,Louisville,KY,,
"Campbell, Herman A.",Campbell, Herman A.,3-Nov-43,2nd Lt,SE-43-J,TAAF,Single engine,New York,NY,,
"Campbell, Lawrence E.",Campbell, Lawrence E.,12-Oct-48,2nd Lt,Unk,"Williams AFB, AZ",Single engine,,,,
"Campbell, Lindsey L.",Campbell, Lindsey L.,28-Dec-44,Flight Officer,SE-44-J,TAAF,Single engine,Washington,DC,,
"Campbell, McWheeler",Campbell, McWheeler,28-Dec-44,2nd Lt,SE-44-J,TAAF,Single engine,Cambria,VA,,
"Campbell, Vincent O.",Campbell, Vincent O.,11-Mar-45,2nd Lt,SE-45-A,TAAF,Single engine,Corona,NY,,
"Campbell, William A.",Campbell, William A.,3-Jul-42,2nd Lt,SE-42-F,TAAF,Single engine,Tuskegee,AL,"Downed 1 Me-109 on March 31, 1945",https://cafriseabove.org/william-a-campbell/
"Carey, Carl E.",Carey, Carl E.,8-Sep-44,2nd Lt,SE-44-H,TAAF,Single engine,St. Louis,MO,"Downed 2 FW-190s on April 1, 1945",
"Cargill, Gilbert A.",Cargill, Gilbert A.,,Flight Officer,45-BI-1,TAAF,Service pilot,Cleveland,OH,,https://cafriseabove.org/gilbert-a-cargill/
"Carpenter, Russell W., Jr.",Carpenter," Russell W., Jr.",20-Nov-44,2nd Lt,SE-44-I,TAAF,Single engine,Plainfield,NJ,,
"Carroll, Alfred Q., Jr.",Carroll," Alfred Q., Jr.",3-Nov-43,2nd Lt,SE-43-J,TAAF,Single engine,Washington,DC,,https://cafriseabove.org/alfred-quaisse-carroll-jr/
"Carroll, Lawrence W.",Carroll, Lawrence W.,20-Nov-45,2nd Lt,TE-45-H,TAAF,Twin engine,Chicago,IL,,
"Carter, Clarence J.",Carter, Clarence J.,27-Jun-45,Flight Officer,SE-45-D,TAAF,Single engine,Chicago,IL,,
"Carter, Floyd J.",Carter, Floyd J.,23-Mar-46,Flight Officer,TE-46-A,TAAF,Twin engine,Norfolk,VA,,
"Carter, Herbert E.",Carter, Herbert E.,3-Jul-42,2nd Lt,SE-42-F,TAAF,Single engine,Amory,MS,,https://cafriseabove.org/herbert-e-carter/
"Carter, James Y.",Carter, James Y.,29-Apr-43,2nd Lt,SE-43-D,TAAF,Single engine,Winston-Salem,NC,,
"Carter, Lloyd A.N.",Carter, Lloyd A.N.,1-Feb-44,2nd Lt,SE-44-K,TAAF,Single engine,York,PA,,
"Carter, William G.",Carter, William G.,28-Jun-46,2nd Lt,SE-46-C,TAAF,Single engine,Pittsburg,PA,,
"Casey, Clifton G.",Casey, Clifton G.,15-Apr-45,Flight Officer,SE-45-B,TAAF,Single engine,Birmingham,AL,,
"Cassagnol, Raymond",Cassagnol, Raymond,28-Jul-43,,SE-43-G,TAAF,Single engine,Unknown,HT,,https://cafriseabove.org/raymond-cassagnol/
"Chambers, Charles W.",Chambers, Charles W.,23-Mar-46,2nd Lt,SE-46-A,TAAF,Single engine,Camden,NJ,,
"Chandler, Robert C.",Chandler, Robert C.,8-Feb-44,2nd Lt,SE-44-B,TAAF,Single engine,Allegan,MI,,
